#,Creator,Type,City,Category,Places,Tips / Summary,Flag,Video URL
26,@vietnamexpress.diary,🎥 Video,Ho Chi Minh,Food & Drink,Oasis Cafe📍 Miền Thảo Mộc📍 Vườn Thiên Giới📍 Cái Tổ Chim📍 The CloudestWhich one are you visiting first? ☕🌿Follow me for more hidden gems & aesthetic spots in Saigon ✨,These are some of the most dreamy aesthetic cafés in Ho Chi Minh City. Save this for your next café hopping day ✨📍 Oasis Cafe📍 Miền Thảo Mộc📍 Vườn Thi…,,https://www.tiktok.com/@vietnamexpress.diary/video/7633064613713562887
27,@winataexplores,🎥 Video (no caption),Ho Chi Minh,Attraction,METASHOW Exhibition — Thiso Mall 4th Floor,"Van Gogh immersive light exhibition at METASHOW, Thiso Mall 4th Floor. Open daily 10AM–10PM. Plan 45–60 mins. Great indoor activity, especially in the heat.",,https://www.tiktok.com/@winataexplores/video/7609627004345797909
28,@elorado,🎥 Video,Ho Chi Minh,Food & Drink,,"where the locals eat in HCM, Vietnam",,https://www.tiktok.com/@elorado/video/7619874726114118930
30,@itswinnew,🎥 Video,Ho Chi Minh,Food & Drink,,,,https://www.tiktok.com/@itswinnew/video/7603983634780998934
31,@ericaagl,📸 Slideshow,Ho Chi Minh,Itinerary,,"my first time travel to Ho Chi Minh, Vietnamhere some of place and things to do!",,https://www.tiktok.com/@ericaagl/photo/7626371056701279496
32,@dwendyt,📸 Slideshow,Ho Chi Minh,Food & Drink,,"i miss vn so much, there’s so much to do and eat!! more vn content coming up!! ✨",,https://www.tiktok.com/@dwendyt/photo/7622195733055196436
33,@arsipkelana,📸 Slideshow,Vietnam (General),Food & Drink,,Jangan makan yg ituitu sajah…🙅‍♀️You’re welcome🥰,,https://www.tiktok.com/@arsipkelana/photo/7627111824789441800
35,@giashin15,🎥 Video,Ba Na Hills,Activity,,"Actually one of my favourite parts of Vietnam other than the food and culture🤩🇻🇳✅ 2/4 Alpine Coasters in Vietnam checked! 🎢💖 Sharing more about my Vietnam trip soon, follow along!",,https://www.tiktok.com/@giashin15/video/7606228683141172498
36,@ama.vietnam.blog,🎥 Video,Ho Chi Minh,Food & Drink,"Address: 80 Đường 36, Linh Đông, Thủ Đức, Ho Chi Minh City, Vietnam – Vườn Thiên Giới.In Vietnam, coffee isn’t just coffee, it’s an experience. From the coffee quality to the concept, the design, and the vibes, every detail is just on the next level. 💯A hidden coffee spot you’ll want on your Vietnam bucket list, enjoy! 😃","📍Address: 80 Đường 36, Linh Đông, Thủ Đức, Ho Chi Minh City, Vietnam – Vườn Thiên Giới.In Vietnam, coffee isn’t just coffee, it’s an experience. From the coffee quality to the concept, the design, and the vibes, every detail is just on the next level. 💯A hidden coffee spot you’ll want on your Vietnam bucket list, enjoy! 😃",,https://www.tiktok.com/@ama.vietnam.blog/video/7622292046052707602
37,@adventurers00,📸 Slideshow,Ho Chi Minh,General,,we haven’t been yet but this is what we plan to do!,,https://www.tiktok.com/@adventurers00/photo/7607530037121731843
